TESTING parallel.exe !
TESTED (10, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.0032666666666666664}
TESTED (15, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.007483333333333333}
TESTED (20, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.0166}
TESTED (25, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.03231666666666667}
TESTED (30, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.055883333333333333}
TESTED (50, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.2556}
TESTED (60, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.44255}
TESTED (70, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.6849}
TESTED (80, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.9301}
TESTED (90, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 1.3839833333333333}
TESTED (100, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 1.8144166666666668}
TESTED (125, 800, 100)! {'iterc': 100, 'ops': 800, 'avg': 3.6879166666666667}
TESTED (150, 500, 100)! {'iterc': 100, 'ops': 500, 'avg': 6.338266666666667}
TESTED (175, 100, 100)! {'iterc': 100, 'ops': 100, 'avg': 11.176333333333334}
TESTED (200, 50, 100)! {'iterc': 100, 'ops': 50, 'avg': 15.37}
TESTED (300, 50, 100)! {'iterc': 100, 'ops': 50, 'avg': 55.62466666666666}
TESTED (400, 50, 100)! {'iterc': 100, 'ops': 50, 'avg': 129.17833333333334}
TESTED (500, 20, 100)! {'iterc': 100, 'ops': 20, 'avg': 257.5483333333333}
TESTED (600, 15, 100)! {'iterc': 100, 'ops': 15, 'avg': 448.0433333333333}
TESTED (750, 10, 50)! {'iterc': 50, 'ops': 10, 'avg': 1057.1466666666668}
TESTED (900, 10, 50)! {'iterc': 50, 'ops': 10, 'avg': 1965.1766666666667}
TESTED (1000, 10, 50)! {'iterc': 50, 'ops': 10, 'avg': 2686.46}
TESTED (1500, 5, 10)! {'iterc': 10, 'ops': 5, 'avg': 11643.466666666667}
TESTED (2000, 5, 10)! {'iterc': 10, 'ops': 5, 'avg': 29911.9}
TESTED (2500, 1, 10)! {'iterc': 10, 'ops': 1, 'avg': 60884.666666666664}
TESTING parallel10000_1000.exe !
TESTED (10, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.0035499999999999998}
TESTED (15, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.0074333333333333335}
TESTED (20, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.017233333333333333}
TESTED (25, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.03153333333333334}
TESTED (30, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.05436666666666667}
TESTED (50, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.24278333333333332}
TESTED (60, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.42475}
TESTED (70, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.6864333333333332}
TESTED (80, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.9625}
TESTED (90, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 1.3605666666666667}
TESTED (100, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 1.8748666666666665}
TESTED (125, 800, 100)! {'iterc': 100, 'ops': 800, 'avg': 3.696625}
TESTED (150, 500, 100)! {'iterc': 100, 'ops': 500, 'avg': 6.008333333333333}
TESTED (175, 100, 100)! {'iterc': 100, 'ops': 100, 'avg': 10.698}
TESTED (200, 50, 100)! {'iterc': 100, 'ops': 50, 'avg': 15.990666666666666}
TESTED (300, 50, 100)! {'iterc': 100, 'ops': 50, 'avg': 52.996}
TESTED (400, 50, 100)! {'iterc': 100, 'ops': 50, 'avg': 124.705}
TESTED (500, 20, 100)! {'iterc': 100, 'ops': 20, 'avg': 248.15583333333333}
TESTED (600, 15, 100)! {'iterc': 100, 'ops': 15, 'avg': 435.1422222222222}
TESTED (750, 10, 50)! {'iterc': 50, 'ops': 10, 'avg': 1027.8466666666668}
TESTED (900, 10, 50)! {'iterc': 50, 'ops': 10, 'avg': 1899.1966666666667}
TESTED (1000, 10, 50)! {'iterc': 50, 'ops': 10, 'avg': 2658.7266666666665}
TESTED (1500, 5, 10)! {'iterc': 10, 'ops': 5, 'avg': 11655.3}
TESTED (2000, 5, 10)! {'iterc': 10, 'ops': 5, 'avg': 30200.6}
TESTED (2500, 1, 10)! {'iterc': 10, 'ops': 1, 'avg': 60572.166666666664}
TESTING parallel1000_10000.exe !
TESTED (10, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.0043}
TESTED (15, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.008583333333333333}
TESTED (20, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.01795}
TESTED (25, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.033416666666666664}
TESTED (30, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.05616666666666666}
TESTED (50, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.2529666666666667}
TESTED (60, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.4129166666666667}
TESTED (70, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.6567000000000001}
TESTED (80, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.9426833333333333}
TESTED (90, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 1.3261500000000002}
TESTED (100, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 1.7897166666666666}
TESTED (125, 800, 100)! {'iterc': 100, 'ops': 800, 'avg': 3.6883749999999997}
TESTED (150, 500, 100)! {'iterc': 100, 'ops': 500, 'avg': 6.100033333333334}
TESTED (175, 100, 100)! {'iterc': 100, 'ops': 100, 'avg': 10.187333333333333}
TESTED (200, 50, 100)! {'iterc': 100, 'ops': 50, 'avg': 15.527000000000001}
TESTED (300, 50, 100)! {'iterc': 100, 'ops': 50, 'avg': 53.644666666666666}
TESTED (400, 50, 100)! {'iterc': 100, 'ops': 50, 'avg': 125.94466666666668}
TESTED (500, 20, 100)! {'iterc': 100, 'ops': 20, 'avg': 250.9983333333333}
TESTED (600, 15, 100)! {'iterc': 100, 'ops': 15, 'avg': 438.0155555555556}
TESTED (750, 10, 50)! {'iterc': 50, 'ops': 10, 'avg': 1039.3933333333332}
TESTED (900, 10, 50)! {'iterc': 50, 'ops': 10, 'avg': 1925.4533333333334}
TESTED (1000, 10, 50)! {'iterc': 50, 'ops': 10, 'avg': 2692.1266666666666}
TESTED (1500, 5, 10)! {'iterc': 10, 'ops': 5, 'avg': 11733.633333333333}
TESTED (2000, 5, 10)! {'iterc': 10, 'ops': 5, 'avg': 30094.56666666667}
TESTED (2500, 1, 10)! {'iterc': 10, 'ops': 1, 'avg': 60360.166666666664}
TESTING parallel10000_10000.exe !
TESTED (10, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.0033}
TESTED (15, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.008883333333333333}
TESTED (20, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.016383333333333333}
TESTED (25, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.031716666666666664}
TESTED (30, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.054766666666666665}
TESTED (50, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.24491666666666664}
TESTED (60, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.41960000000000003}
TESTED (70, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.6927833333333333}
TESTED (80, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 0.9833166666666667}
TESTED (90, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 1.3589166666666668}
TESTED (100, 1000, 100)! {'iterc': 100, 'ops': 1000, 'avg': 1.7846166666666665}
TESTED (125, 800, 100)! {'iterc': 100, 'ops': 800, 'avg': 3.584166666666667}
TESTED (150, 500, 100)! {'iterc': 100, 'ops': 500, 'avg': 5.997433333333333}
TESTED (175, 100, 100)! {'iterc': 100, 'ops': 100, 'avg': 10.373333333333333}
TESTED (200, 50, 100)! {'iterc': 100, 'ops': 50, 'avg': 15.955}
TESTED (300, 50, 100)! {'iterc': 100, 'ops': 50, 'avg': 55.68600000000001}
